City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,saint-zotique,45.2501,-74.2492,291.18,82,8,1.03,CA,1724458889
168,xining,36.6167,101.7667,291.12,80,97,0.62,CN,1724458355
169,ust'-ilimsk,58.0006,102.6619,286.63,88,8,1.9,RU,1724458890
170,port elizabeth,-33.918,25.5701,291.31,52,0,1.03,ZA,1724458890
171,tahe,52.3333,124.7333,292.44,59,100,1.56,CN,1724458891
172,sisimiut,66.9395,-53.6735,279.92,89,100,0.96,GL,1724458891
173,tulum,20.2167,-87.4667,300.94,81,10,2.58,MX,1724458891
174,kapuskasing,49.4169,-82.4331,293.2,73,75,4.12,CA,1724458892
175,tlahualilo de zaragoza,26.1167,-103.45,307.47,14,33,7.78,MX,1724458892
176,porto novo,6.4965,2.6036,297.32,90,100,3.83,BJ,1724458893
177,pindushi,62.9152,34.58,284.89,87,6,3.93,RU,1724458893
178,arkhangel'sk,64.5401,40.5433,289.21,82,0,2.0,RU,1724458412
179,buala,-8.145,159.5921,301.22,71,100,4.75,SB,1724458894
180,mawlamyinegyunn,16.3833,95.2667,298.78,91,100,1.99,MM,1724458895
181,vanimo,-2.6741,141.3028,301.77,70,93,1.94,PG,1724458895
182,khandyga,62.6667,135.6,290.46,76,15,0.67,RU,1724458896
183,ilulissat,69.2167,-51.1,279.16,100,100,1.03,GL,1724458896
184,alice springs,-23.7,133.8833,302.9,26,1,7.2,AU,1724458897
185,nogliki,51.8333,143.1667,285.82,95,100,9.4,RU,1724458897
186,utrik,11.2278,169.8474,301.71,74,47,8.87,MH,1724458897
187,taber,49.8167,-112.1518,301.15,34,16,5.14,CA,1724458898
188,tosontsengel,48.7567,98.2839,284.3,49,35,1.05,MN,1724458898
189,ribeira grande,38.5167,-28.7,299.14,86,13,1.34,PT,1724458898
190,northam,51.0333,-4.2167,287.38,91,100,6.28,GB,1724458899
191,takoradi,4.8845,-1.7554,296.82,92,100,5.54,GH,1724458899
192,polyarnyy,69.1989,33.4478,288.1,91,33,4.67,RU,1724458900
193,mount isa,-20.7333,139.5,300.02,28,63,4.12,AU,1724458311
194,tsiombe,-25.3,45.4833,288.52,60,31,4.25,MG,1724458900
195,mukalla,14.5425,49.1242,301.47,69,6,1.35,YE,1724458901
196,brookings,44.3114,-96.7984,299.36,78,0,4.63,US,1724458646
197,saudarkrokur,65.7461,-19.6394,277.23,99,100,5.96,IS,1724458902
198,birstein,50.35,9.3,288.91,96,82,2.07,DE,1724458902
199,tyukhtet,56.5389,89.3011,286.73,79,79,3.79,RU,1724458902
200,chuguyevka,44.1653,133.8633,292.87,89,66,0.61,RU,1724458903
201,krasnohrad,49.3814,35.4402,292.88,53,59,3.85,UA,1724458903
202,aljezur,37.3191,-8.8033,291.28,98,37,4.04,PT,1724458904
203,puerto ayora,-0.7393,-90.3518,292.9,93,50,4.47,EC,1724458904
204,puquio,-14.7,-74.1333,281.9,25,5,0.74,PE,1724458904
205,yaren,-0.5472,166.916,301.95,66,44,4.91,NR,1724458905
206,raahe,64.6833,24.4833,288.19,87,68,5.85,FI,1724458905
207,ilagan,17.1485,121.8892,300.4,86,96,1.21,PH,1724458905
208,acarau,-2.8856,-40.12,298.55,75,54,7.76,BR,1724458906
209,srandakan,-7.9386,110.2506,296.32,79,65,1.88,ID,1724458906
210,ebon,4.582,168.6964,302.08,73,98,3.41,MH,1724458907
211,novobod,39.0108,70.1508,288.94,35,20,0.53,TJ,1724458907
212,bagaha,27.1,84.0833,298.38,92,54,3.59,IN,1724458908
213,taiobeiras,-15.8078,-42.2331,291.37,55,1,2.09,BR,1724458775
214,isiro,2.7739,27.616,291.89,93,20,0.31,CD,1724458909
215,cabedelo,-6.9811,-34.8339,298.52,83,48,5.58,BR,1724458327
216,pangody,65.85,74.4859,282.28,95,100,2.12,RU,1724458330
217,touros,-5.1989,-35.4608,297.2,82,10,5.41,BR,1724458910
218,payakumbuh,-0.2202,100.6308,294.51,95,99,1.27,ID,1724458910
219,ballinasloe,53.3275,-8.2194,282.38,96,82,3.68,IE,1724458911
220,atkaracalar,40.8159,33.0756,287.8,97,5,2.17,TR,1724458911
221,tongren,27.7172,109.1853,299.93,82,0,1.39,CN,1724458911
222,constantia,44.1833,28.65,295.76,74,4,2.52,RO,1724458322
223,labytnangi,66.6572,66.4183,280.94,91,72,0.53,RU,1724458912
224,gadzhiyevo,69.2551,33.3362,288.39,90,41,4.3,RU,1724458913
225,hadibu,12.65,54.0333,298.76,82,100,7.02,YE,1724458401
226,slave lake,55.2834,-114.769,296.14,53,0,3.6,CA,1724458913
227,sao francisco,-15.9486,-44.8644,298.18,35,42,2.26,BR,1724458914
228,harper,4.375,-7.7169,297.54,85,97,5.59,LR,1724458914
229,papao,-17.75,-149.55,299.97,77,100,11.53,PF,1724458914
230,ugoofaaru,5.6667,73.0,300.57,78,100,3.86,MV,1724458915
231,chibougamau,49.9168,-74.3659,293.94,52,0,1.54,CA,1724458915
232,st. john's,47.5649,-52.7093,290.36,92,100,7.2,CA,1724458144
233,badger,64.8,-147.5333,284.29,84,100,6.17,US,1724458916
234,praia da vitoria,38.7333,-27.0667,298.57,100,75,5.3,PT,1724458346
235,aberdeen,57.1437,-2.0981,285.42,82,40,5.14,GB,1724458917
236,krasnyy chikoy,50.3643,108.7512,286.95,82,8,2.09,RU,1724458917
237,floro,61.5996,5.0328,286.13,76,40,8.23,NO,1724458917
238,corner brook,48.9667,-57.9484,288.65,92,44,2.3,CA,1724458918
239,songkhla,6.8333,100.6667,295.87,97,100,1.17,TH,1724458918
240,bom jardim,-7.7958,-35.5872,291.91,95,31,1.21,BR,1724458918
241,bakanas,44.8081,76.2772,296.37,35,22,1.98,KZ,1724458919
242,yuzhno-kurilsk,44.0306,145.8556,297.74,80,27,4.62,RU,1724458919
243,aripuana,-9.1667,-60.6333,302.72,32,38,1.06,BR,1724458381
244,nantucket,41.2835,-70.0995,292.21,77,0,3.6,US,1724458894
245,greenville,35.6127,-77.3663,295.12,70,0,1.54,US,1724458635
246,severnoye,56.3491,78.3619,285.31,93,50,3.81,RU,1724458921
247,mugia,43.1041,-9.2179,293.66,92,67,6.71,ES,1724458351
248,machico,32.7,-16.7667,297.5,69,20,2.06,PT,1724458922
249,walvis bay,-22.9575,14.5053,287.53,81,70,3.83,NA,1724458922
250,grootfontein,-19.5667,18.1167,288.88,18,0,1.21,NA,1724458923
251,selkirk,50.1436,-96.8845,299.92,65,0,0.89,CA,1724458678
252,hola,51.5377,23.1902,289.48,61,100,2.87,PL,1724458924
253,lamar,33.6668,-95.5836,306.1,55,0,7.72,US,1724458924
254,xiuyan,40.2928,123.2744,296.85,84,41,0.32,CN,1724458924
255,sitka,57.0531,-135.33,287.09,88,100,2.57,US,1724458925
256,ketchikan,55.3422,-131.6461,288.02,76,100,1.33,US,1724458925
257,freetown,8.484,-13.2299,298.99,89,75,7.2,SL,1724458339
258,jacmel,18.2342,-72.5347,301.12,83,96,1.33,HT,1724458926
259,miramichi,47.0043,-65.4654,288.25,81,54,2.77,CA,1724458926
260,illizi,26.4833,8.4667,304.9,29,0,3.72,DZ,1724458927
261,tiksi,71.6872,128.8694,279.71,87,81,0.51,RU,1724458927
262,ancud,-41.8697,-73.8203,279.76,85,51,2.63,CL,1724458928
263,talara,-4.5772,-81.2719,293.57,83,0,6.69,PE,1724458411
264,birni n konni,13.7956,5.2553,298.68,74,74,4.29,NE,1724458928
265,swellendam,-34.0226,20.4417,285.79,60,0,3.03,ZA,1724458929
266,ust-nera,64.5667,143.2,291.73,50,100,2.61,RU,1724458929
267,mandalgovi,45.7625,106.2708,288.0,60,1,4.37,MN,1724458929
268,kudahuvadhoo,2.6708,72.8944,301.01,69,98,0.46,MV,1724458672
269,kristiansund,63.1115,7.732,285.51,82,75,8.23,NO,1724458930
270,stanley,54.868,-1.6985,285.53,80,0,5.14,GB,1724458931
271,bom sucesso,-21.0331,-44.7581,294.72,36,1,2.72,BR,1724458932
272,atbasar,51.8,68.3333,285.33,91,96,5.25,KZ,1724458352
273,fort st. john,56.2499,-120.8529,295.09,40,75,0.0,CA,1724458369
274,cromer,52.9312,1.2989,289.34,64,89,4.48,GB,1724458933
275,la tuque,47.4334,-72.7824,293.29,77,82,1.54,CA,1724458933
276,tralee,52.2704,-9.7026,283.64,94,54,3.26,IE,1724458933
277,bemidji,47.4736,-94.8803,299.2,71,75,3.09,US,1724458680
278,pubal,37.2917,127.5078,300.6,89,20,1.03,KR,1724458934
279,tartu,58.3806,26.7251,289.44,83,75,3.6,EE,1724458935
280,tarawa,1.419,172.984,304.2,66,20,4.12,KI,1724458935
281,mohr,54.3528,9.7167,286.23,89,96,3.09,DE,1724458935
282,tommot,58.9564,126.2925,290.27,67,78,1.74,RU,1724458936
283,dawesville,30.9224,-84.0091,300.57,70,40,4.12,US,1724458936
284,opuwo,-18.0607,13.84,290.44,20,4,1.45,NA,1724458937
285,kati,12.7441,-8.0726,295.82,94,100,1.82,ML,1724458937
286,argo,37.6333,22.7333,300.28,34,0,1.89,GR,1724458937
287,atafu village,-8.5421,-172.5159,300.63,79,100,8.51,TK,1724458938
288,bisbee,31.4482,-109.9284,300.54,51,53,3.58,US,1724458938
289,sabha,27.0377,14.4283,304.28,41,0,7.08,LY,1724458939
290,gustavsberg,59.3268,18.3898,291.09,71,54,8.53,SE,1724458939
291,la passe,45.5549,-0.8967,292.21,93,4,2.42,FR,1724458939
292,qaqortoq,60.7167,-46.0333,277.84,93,45,1.87,GL,1724458884
293,guano,-1.5833,-78.6333,282.34,89,23,2.53,EC,1724458721
294,tarakan,3.3,117.6333,299.87,94,40,1.03,ID,1724458940
295,peace river,56.2501,-117.286,301.32,26,75,5.66,CA,1724458941
296,aasiaat,68.7098,-52.8699,276.6,99,100,2.96,GL,1724458941
297,uturoa,-16.7333,-151.4333,298.75,78,93,9.41,PF,1724458343
298,gualeguaychu,-33.0094,-58.5172,280.34,69,100,3.13,AR,1724458724
299,weno,7.4515,151.8468,301.84,72,93,3.01,FM,1724458943
300,magadan,59.5667,150.8,288.75,57,100,4.75,RU,1724458943
301,punta cana,18.5818,-68.4043,302.02,84,20,3.09,DO,1724458733
302,berezovyy,51.6667,135.7,291.11,68,62,0.13,RU,1724458944
303,eraan,9.0629,117.7016,300.33,85,100,1.18,PH,1724458944
304,portland,45.5234,-122.6762,292.23,75,75,1.79,US,1724458827
305,manthani,18.65,79.6667,298.31,91,100,2.82,IN,1724458945
306,al wakrah,24.85,51.3333,307.2,67,3,2.34,QA,1724458945
307,bonga,7.2833,36.2333,288.54,99,100,0.47,ET,1724458946
308,sol'tsy,58.1239,30.3238,286.24,97,100,3.83,RU,1724458948
309,banda aceh,5.5577,95.3222,298.63,85,94,4.52,ID,1724458948
310,chernyshkovskiy,48.4219,42.2308,296.75,30,85,5.25,RU,1724458949
311,vilyuchinsk,52.9306,158.4028,285.3,97,100,11.04,RU,1724458949
312,kapa'a,22.0752,-159.319,302.33,73,100,7.2,US,1724458950
313,mersa matruh,31.3525,27.2453,300.03,71,0,3.98,EG,1724458950
314,road town,18.4167,-64.6167,301.23,72,7,8.53,VG,1724458950
315,robore,-18.3333,-59.75,292.51,65,20,1.17,BO,1724458951
316,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,94,100,8.0,RU,1724458951
317,la ronge,55.1001,-105.2842,296.29,40,0,3.6,CA,1724458398
318,san antonio de pale,-1.4014,5.6325,296.32,83,90,5.76,GQ,1724458952
319,punta arenas,-53.15,-70.9167,280.21,76,0,6.17,CL,1724458922
320,coquimbo,-29.9533,-71.3436,285.0,67,0,2.06,CL,1724458882
321,tolanaro,-25.0319,46.9987,292.19,59,75,5.14,MG,1724458953
322,richards bay,-28.783,32.0377,290.31,67,8,7.42,ZA,1724458922
323,praya,14.9215,-23.5087,300.31,83,33,2.67,CV,1724458954
324,rongelap,11.1635,166.8941,301.79,80,88,8.9,MH,1724458955
325,bardai,11.65,7.2333,292.91,96,85,3.39,NG,1724458955
326,susuman,62.7833,148.1667,290.13,41,13,0.78,RU,1724458955
327,liezen,47.5667,14.2333,290.09,90,1,1.99,AT,1724458956
328,jalai nur,49.45,117.7,289.56,88,100,6.9,CN,1724458956
329,broome,42.2506,-75.833,292.97,67,60,0.45,US,1724458956
330,iron river,46.0927,-88.6423,294.97,67,84,3.49,US,1724458957
331,ola,59.5833,151.2833,289.42,53,99,5.62,RU,1724458957
332,souillac,-20.5167,57.5167,293.36,88,40,2.57,MU,1724458958
333,papatowai,-46.5619,169.4708,283.65,59,36,6.94,NZ,1724458958
334,hasaki,35.7333,140.8333,300.92,79,96,7.07,JP,1724458958
335,la'ie,21.6477,-157.9253,301.81,75,16,4.02,US,1724458959
336,luderitz,-26.6481,15.1594,286.3,83,63,1.49,NA,1724458959
337,lillehammer,61.1146,10.4674,280.82,95,68,1.74,NO,1724458960
338,luau,-10.7073,22.2247,292.61,30,0,2.81,AO,1724458960
339,nova vicosa,-17.8919,-39.3719,296.86,77,1,5.35,BR,1724458960
340,las khorey,11.1595,48.1967,303.9,55,88,3.59,SO,1724458961
341,east end,34.5507,-92.341,306.07,59,40,1.84,US,1724458961
342,antsiranana,-12.2787,49.2917,295.54,72,2,4.17,MG,1724458961
343,kegen,43.0197,79.2203,283.14,78,9,2.29,KZ,1724458962
344,madimba,-10.4,40.3333,295.19,82,0,4.73,TZ,1724458962
345,miyaly,48.8844,53.7836,291.14,54,1,3.57,KZ,1724458962
346,lata,40.1629,-8.3327,289.6,97,42,1.11,PT,1724458963
347,wanning,18.8003,110.3967,301.03,82,99,3.17,CN,1724458963
348,song cau,13.45,109.2167,299.34,74,100,1.82,VN,1724458964
349,katsuren-haebaru,26.3369,127.8719,302.16,89,75,2.57,JP,1724458711
350,mhangura,-16.8939,30.1683,286.68,70,2,3.2,ZW,1724458964
351,plettenberg bay,-34.0527,23.3716,291.01,51,2,4.69,ZA,1724458965
352,parkent,41.2944,69.6764,295.31,31,74,2.02,UZ,1724458965
353,bireun,5.203,96.7009,297.49,77,92,2.31,ID,1724458966
354,ingeniero jacobacci,-41.3427,-69.5448,275.35,64,67,3.49,AR,1724458966
355,khovd,48.0056,91.6419,291.33,29,100,1.12,MN,1724458966
356,mil'kovo,55.6078,37.7956,288.9,69,79,2.71,RU,1724458967
